4476,1850,4486
4509,1955,4487
4510,1956,4504
4511,1957,4521
4512,1958,4522
4513,1959,4523
4514,1960,
4515,1961,
4516,1962,
4517,1963,
4518,1964,
4519,1965,
4520,1966,
4524,1967,
4525,1968,
4526,1969,
4527,1970,
4528,1971,
4529,1986,
4530,1987,
4531,1988,
4532,1989,
4533,1990,
4535,1991,
4536,1992,
4537,1993,
4539,1994,
4540,1995,
4541,1996,
4542,1997,
4543,1998,
4544,1999,
4545,2000,
4546,2001,
4547,2002,
4548,2003,
4549,2004,
4550,2005,
4551,2006,
4552,2007,
4553,2008,
4554,2009,
4555,2010,
4556,1973,
4557,1974,
4558,1975,
4559,1976,
4560,1977,
4561,1978,
4562,1979,
4563,1980,
4564,1981,
4565,1982,
4566,1983,
4573,2015,
4574,2016,
4575,2017,
4576,2018,
4577,2024,
4578,2023,
4579,2022,
4580,2021,
4582,2019,
4583,2026,
4584,2025,
4585,2027,
4586,2028,
4587,2029,
4588,2030,
4589,2031,
4590,2032,
4591,2033,
4592,2034,
4593,2035,
4594,2036,
4595,2037,
4596,2038,
4597,2040,
4598,2039,
4599,2042,
4600,2041,
4601,2043,
4602,2044,
4603,2045,
4604,2046,
4605,2047,
4606,2048,
4607,2049,
4608,2050,
4609,2051,
4610,2052,
4611,2053,
4612,2054,
4613,2055,
4614,2056,
4615,2057,
4616,2058,
4617,2059,
4618,2060,
4619,2061,
4620,2063,
4628,2088,
4629,2090,
4630,2089,
4661,2117,
4662,2122,
4669,2129,
4670,2130,
4688,2151,
4689,2152,
4690,2153,
4691,2154,
4692,2155,
4693,2156,
4694,2157,
4695,2158,
4696,2159,
4697,2160,
4698,2161,
4699,2162,
4701,2163,
4702,2164,
4703,2165,
4705,2168,
4706,2169,
4707,2170,
4709,2172,
4710,2173,
4711,2174,
4714,2185,
4715,2186,
4716,2187,
4717,2188,
4718,2189,
4719,2190,
4720,2191,
4721,2192,
4722,2193,
4723,2194,
4724,2278,
4725,2319,
4729,2363,
